Year,State,Offense,SubCat,TrueCount,Unfounded,Cleared,JuvCleared
2016,Missouri,Human Trafficking,Commercial Sex Acts,2,0,2,0
2016,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2016,Texas,Human Trafficking,Involuntary Servitude,2,0,0,0
2019,Nevada,Human Trafficking,Commercial Sex Acts,15,0,4,0
2017,Arizona,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,North Dakota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Georgia,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,2,0,1,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,5,0,0,0
2020,Georgia,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,2,0,0,0
2017,Arizona,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Louisiana,Human Trafficking,Commercial Sex Acts,3,0,3,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Louisiana,Human Trafficking,Commercial Sex Acts,4,0,2,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,4,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,3,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,Missouri,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,Colorado,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,Ohio,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Texas,Human Trafficking,Involuntary Servitude,4,0,0,0
2016,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
